Term [en-US],Description [en-US],Part of Speech [en-US],Term [zh-CN],Description [zh-CN],Part of Speech [zh-CN],Term [zh-TW],Description [zh-TW],Part of Speech [zh-TW]
Giverny,French commune best known as the location of Claude Monet's garden and home.,,维尼,,,維尼,,
Post-Impressionism,Post-Impressionism is a predominantly French art movement that developed roughly between 1886 and 1905; from the last Impressionist exhibition to the birth of Fauvism.,,印象派之后的时代,,,印象派之後的時代,,
Brittany,Province in the west of France.,,布列塔尼,,,布列塔尼,,
Style,,,风格,,,風格,,
Mecca,"Ambas con mayúscula, La Meca",,麦加,,,麥加,,
Kunstmuseum,No se traduce,,美术馆,,,美術館,,
"National Gallery, London",,,伦敦国家画廊,,,倫敦國家畫廊,,
Cairo,País,,开罗,,,開羅,,
Cyrene,,,昔兰尼,,,昔蘭尼,,
Eskimo-Aleut,lenguas,,爱斯基摩-阿留申语,,,愛斯基摩-阿留申語,,
Coronation Gulf,Canadá,,加冕湾,,,加冕灣,,
Carthage,,,迦太基,,,迦太基,,
Persian Gulf,,,波斯湾,,,波斯灣,,
Black Sea,,,黑海,,,黑海,,
genre scenes,Theme of paintings.,,体裁的场景,,,體裁的場景,,
Ancient Egyptian,,,古埃及人,,,古埃及人,,
Near East,,,近东,,,近東,,
Iron Age,,,铁器时代,,,鐵器時代,,
Forum Romanum,,,,,,,,
Bucchero,"Bucchero is a class of ceramics produced in central Italy by the Etruscans. This Italian word is derived from the Latin poculum, a drinking-vessel, perhaps through the Spanish búcaro, or the Portuguese púcaro.",,铁器时代,,,鐵器時代,,
The Jewish Museum,,,犹太博物馆,,,猶太博物館,,
Haskalah,,,,,,,,
Villanovan culture,"The Villanovan Culture was the earliest Iron Age culture of central and northern Italy, abruptly following the Bronze Age Terramare culture and giving way in the 7th century BC to an increasingly orientalizing culture influenced by Greek traders, which was followed without a severe break by the Etruscan civilization.",,,,,,,
kyathos,A type of painted ancient Greek vase.,,,,,,,
UK,,,英国,,,英國,,
"Royal Collection trust,",,,,,,,,
The Age of Maturity,a sculpture by Camille Claudel,,,,,,,
Roman forum,,,,,,,,
Stoneware,,,炻器,,,炻器,,
oil on canvas,,,,,,,,
Medici,,,麦地奇,,,麥地奇,,
Smithsonian American Art Museum,,,史密森尼美国艺术博物馆,,,史密森尼美國藝術博物館,,
Corcoran Gallery of Art,,,,,,,,
mudra,,,,,,,,
Northern Wei,,,北魏,,,北魏,,
drug,Active sustance with a biological effect,,药物,,,藥物,,
Tempera,"Tempera, also known as egg tempera, is a permanent, fast-drying painting medium consisting of colored pigment mixed with a water-soluble binder medium (usually a glutinous material such as egg yolk or some other size).",,,,,,,
Gold-ground panel painting,Gold leaf is gold that has been hammered into thin sheets by goldbeating and is often used for gilding.,,,,,,,
MoMA,"The Museum of Modern Art (MoMA) is an art museum located in Midtown Manhattan in New York City, on 53rd Street between Fifth and Sixth Avenues.",,现代艺术博物馆,,,現代藝術博物館,,
foreshortening,Foreshortening is the visual effect or optical illusion that causes an object or distance to appear shorter than it actually is because it is angled toward the viewer.,,,,,,,
Carthusian,"The Carthusian Order, also called the Order of Saint Bruno, is a Roman Catholic religious order of enclosed monastics.",,,,,,,
Altarpiece,"An altarpiece is a piece of art such as a painting, sculpture or relief representing a religious subject and suspended in a frame behind the altar of a Christian church.",,,,,,,
Ghent,"Ghent (/ˈɡɛnt/; Dutch: Gent, pronounced [ɣɛnt]; French: Gand, pronounced: [ɡɑ̃]) is a city and a municipality located in the Flemish Region of Belgium.",,,,,,,
deposition,The Descent from the Cross or Deposition is the scene when Christ is lowered from the cross.,,,,,,,
Burgundy,"Burgundy is an administrative and historical region of east-central France. Historically, ""Burgundy"" has referred to numerous political entities, including kingdoms and duchies spanning territory from the Mediterranean to Benelux.",,勃艮第,,,勃艮第,,
lost wax casting,Lost-wax casting is the process by which a duplicate metal sculpture is cast from an original sculpture.,,,,,,,
"Uffizi Gallery, Florence",,,,,,,,
classical orders,"The Architectural Orders are the ancient styles of classical architecture. Three ancient orders of architecture—the Doric, Ionic, and Corinthian—originated in Greece.",,,,,,,
Renaissance,"The Renaissance is a period from the 15th to the 17th century, considered the bridge between the Middle Ages and modern history.",,文艺復兴时期,,,文藝復興時期,,
Dome,A dome (from Latin: domus) is an architectural element that resembles the hollow upper half of a sphere.,,,,,,,
Netherlandish,"The English adjective ""Netherlandish,"" meaning ""from the Netherlands,"" is typically used in reference to paintings or music produced anywhere in the Low Countries during the 15th and early 16th century, which are collectively called Early Netherlandish painting (in Dutch Vlaamse primitieven, Flemish primitives—also common in English before the mid 20th century), or (regarding music) the Netherlandish School.",,荷兰的,,,荷蘭的,,
guild,A guild is an association of artisans or merchants who control the practice of their craft in a particular town.,,,,,,,
vanishing point,"In graphical perspective, a vanishing point is a point in the picture plane that is the intersection of the projections (or drawings) of a set of parallel lines in space on to the picture plane.",,,,,,,
distributive property,,,分配律,,,分配律,,
box-and-whisker,,,,,,,,
barrel-vaulted,,,,,,,,
glazing,"a layer of paint, thinned with a medium, so as to become somewhat transparent",,,,,,,
patronage,"Patronage is the support, encouragement, privilege, or financial aid that an organization or individual bestows to another.",,,,,,,
Jericho,City,,,,,,,
Michelangelo,"Michelangelo Buonarrotti, Renaissance artist.",,,,,,,
Sistine chapel,Vatican,,,,,,,
Libyan Sibyl,"The Libyan Sibyl, named Phemonoe, was the prophetic priestess presiding over the Zeus Ammon Oracle",,,,,,,
Laurentian Library,"The Laurentian Library (Biblioteca Medicea Laurenziana) is a historical library in Florence, Italy, containing a repository of more than 11,000 manuscripts and 4,500 early printed books.",,,,,,,
Madonna of the Goldfinch,"The Madonna del cardellino or Madonna of the Goldfinch is a painting by the Italian renaissance artist Raphael, from c. 1505-1506.",,,,,,,
Mannerism,"Mannerism is a period of European art that emerged from the later years of the Italian High Renaissance around 1520. It lasted until about 1580 in Italy, when the Baroque style began to replace it, but Northern Mannerism continued into the early 17th century.",,,,,,,
Reformation,Martin Luther's Protestant Reformation,,宗教改革,,,宗教改革,,
Martin Luther,"Martin Luther (10 November 1483 – 18 February 1546) was a German friar, priest and professor of theology who was a seminal figure in the Protestant Reformation.",,,,,,,
D&uuml;rer,"Albrecht Dürer (21 May 1471 – 6 April 1528) was a German painter, printmaker, mathematician, and theorist born in Nuremberg.",,,,,,,
iconoclasm,Iconoclasm is the destruction of religious icons and other images or monuments for religious or political motives.,,,,,,,
Baroque,"a period of artistic style that used exaggerated motion and clear, easily interpreted detail to produce drama, tension, exuberance, and grandeur in sculpture, painting, architecture, literature, dance, theater, and music. The style began around 1600 in Rome, Italy, and spread to most of Europe.",,,,,,,
Jerusalem,,,,,,,,
Flanders,,,法兰德斯,,,法蘭德斯,,
College degree,,,,,,,,
Vatican City,,,梵蒂冈城,,,梵蒂岡城,,
Saint Peter's Basilica,Main church in the Vatican.,,,,,,,
Dutch Republic,,,,,,,,
panels,,,,,,,,
Bay Area,"San Francisco Bay Area, in the USA.",,,,,,,
charter school,"A charter school is an independently run public school granted greater flexibility in its operations, in return for greater accountability for performance.",,,,,,,
courthouse,,,,,,,,
energy points,,,,,,,,
coach,,,,,,,,
repeating decimals,,,,,,,,
travertine,"a form of limestone deposited by mineral springs, especially hot springs.",,,,,,,
tufa,Tuff (from the Italian tufo) is a type of rock consisting of consolidated volcanic ash ejected from vents during a volcanic eruption.,,,,,,,
stucco,"Stucco or render is a material made of an aggregate, a binder, and water. Stucco is applied wet and hardens to a very dense solid. It is used as decorative coating for walls and ceilings and as a sculptural and artistic material in architecture.",,,,,,,
Ionic colonnade,,,,,,,,
Ionic order,,,,,,,,
composite structure,"The composite order is a mixed order, combining the volutes of the Ionic order capital with the acanthus leaves of the Corinthian order.",,,,,,,
email,,NOUN,电子邮件,,,電子郵件,,
Marbles,,,,,,,,
point-slope form,,,,,,,,
tetrahedron,,,四面体,,,四面體,,
transubstantiation,"is the change whereby, according to the teaching of the Catholic Church, the bread and the wine used in the sacrament of the Eucharist become the body of Christ.",,,,,,,
Council of Trent,"held between 1545 and 1563 in Trento (Trent) and Bologna, northern Italy, was one of the Roman Catholic Church's most important ecumenical councils.",,,,,,,
landmark,,,,,,,,
folly,"In architecture, a folly is a building constructed primarily for decoration, but either suggesting through its appearance some other purpose, or merely appearing to be so extravagant that it transcends the normal range of garden ornaments or the class of building to which it belongs.",,,,,,,
Flemish,,,,,,,,
Yellow River,China,,黄河,,,黃河,,
ordered pair,,,,,,,,
relative maximum,a point that is higher than all other graph points around it inside an open interval of radius larger than 0,,,,,,,
mastery level,,,,,,,,
to bookmark,,,,,,,,
game the system,manipulate the system in order to trick it,,,,,,,
growth mindset,,,,,,,,
Help Center,,,,,,,,
Khan Academy,,,,,,,,
Class spirit,,,,,,,,
healthy competition,,,,,,,,
Mus&eacute;e d&#39;Orsay,,,,,,,,
K-12,Kindergarten to 12th grade,,,,,,,
Google Apps for Education,.,,,,,,,
coach dashboard,,,,,,,,
Statens Museum for Kunst,,,,,,,,
Pre-Raphaelite Brotherhood,,,,,,,,
Halakhah,Halajá,,,,,,,
unit fraction,,,,,,,,
Prado,,,,,,,,
Berlin,,,柏林,,,柏林,,
Mixed numbers,,,带分数,,,帶分數,,
rate,,,,,,,,
convert,,,换算,,,換算,,
problems,,,,,,,,
equations,,,方程式,,,方程式,,
inequality,,,不等式,,,不等式,,
elimination method,,,消去法,,,消去法,,
Grosvenor Gallery,,,,,,,,
American Civil War,,,美国南北战争,,,美國南北戰爭,,
Confederate South,,,南方邦联,,,南方邦聯,,
default,,,,,,,,
khanacademy.org,,,khanacademy.org,,,khanacademy.org,,
Student Progress,,,,,,,,
Skill Progress,,,,,,,,
Picardy,is one of the 27 regions of France. It is located in the northern part of France.,,,,,,,
Tuamotu Islands,,,土阿莫土群岛,,,土阿莫土群島,,
mission completion,,,任务完成,,,任務完成,,
progress reports,,,进度报告,,,進度報告,,
Learning Gaps,,,,,,,,
Suggested readings:,,,推荐阅读：,,,推薦閱讀：,,
Progress Report,,,,,,,,
open-source e-learning platform,,,,,,,,
developmental math,,,,,,,,
dual enrolled,"In education, dual enrollment (DE) involves students being enrolled in two separate, academically related institutions. Generally, it refers to high school students taking college courses. Less commonly, it may refer to any individual who is participating in two related programs.",,,,,,,
remediation,"Remedial education (also known as developmental education, basic skills education, compensatory education, preparatory education, and academic upgrading) is education designed to assist students in order to achieve expected competencies in core academic skills such as literacy and numeracy.",,,,,,,
Show all skills,,,,,,,,
Early Math,,,,,,,,
Pre-Algebra,,,初等代数,,,初等代數,,
coach recommendations,,,,,,,,
grade-level,"School levels from elementary, junior high and high-school.",,,,,,,
subject-level,,,,,,,,
Common Core Standard,,,,,,,,
tutoring,,,,,,,,
improper fraction,,,,,,,,
checklists,,,,,,,,
checklist,,,,,,,,
grade level,,,,,,,,
tutorial,,,,,,,,
MoMA Multimedia,,,,,,,,
attend the school,,,,,,,,
pioneered,to pioneer,,,,,,,
curriculum,,,,,,,,
Enlightenment,,,,,,,,
scores,,,,,,,,
blended-learning model,,,,,,,,
developmental,,,,,,,,
architectural orders,,,,,,,,
Minoan culture,,,,,,,,
Mycenaean,,,,,,,,
pediments,"A pediment is an element in classical, neoclassical and baroque architecture, and derivatives therefrom, consisting of a gable, originally of a triangular shape, placed above the horizontal structure of the entablature, typically supported by columns.",,,,,,,
frieze,"In architecture the frieze is the wide central section part of an entablature and may be plain or decorated with bas-reliefs, like in in the Ionic or Doric orders.",,,,,,,
ionic,,,,,,,,
pediment,"A pediment is an element in classical, neoclassical and baroque architecture, and derivatives therefrom, consisting of a gable, originally of a triangular shape, placed above the horizontal structure of the entablature, typically supported by columns.",,,,,,,
slope,,,,,,,,
tape diagram,,NOUN,,,,,,
daimyo,,,,,,,,
Pliny the Elder,"Gaius Plinius Secundus (AD 23 – August 25, AD 79) was a Roman author, naturalist, and natural philosopher, as well as naval and army commander of the early Roman Empire and personal friend of the emperor Vespasian.",,,,,,,
remarkable,,,,,,,,
resplendent,,,,,,,,
Sassanid,"The Sassanid Empire was the last Iranian empire before the rise of Islam, ruled by the Sasanian dynasty from 224 AD to 651 AD. The Sasanian Empire, which succeeded the Parthian Empire, was recognized as one of the leading world powers alongside its neighboring archrival the Byzantine Empire, for a period of more than 400 years.",,,,,,,
heyday,,,,,,,,
Corinthian order,,,,,,,,
pseduoperipteral,"In architecture, a pseudoperipteral building is one with free standing columns in the front (colonnaded portico), but the columns along the sides are engaged in the peripheral walls of the building. The ancient Romans favoured pseudoperipteral buildings, typically with a portico in front and engaged columns along the side and rear walls of the cella.",,,,,,,
Yale Center for British Art,,,,,,,,
engine,,,引擎,,,引擎,,
engaged columns,,,,,,,,
Seleucid,"The Seleucid Empire was a Hellenistic state ruled by the Seleucid dynasty, 312 BC to 63 BC; it was founded by Seleucus I Nicator following the division of the empire created by Alexander the Great. Seleucus received Babylonia and, from there, expanded his dominions to include much of Alexander's near eastern territories. At the height of its power, it included central Anatolia, Persia, the Levant, Mesopotamia, and what is now Kuwait, Afghanistan, Pakistan,Turkmenistan and northwest parts of India.",,,,,,,
precinct,,,,,,,,
coffered,"A coffer (or coffering) in architecture, is a sunken panel in the shape of a square, rectangle, or octagon in a ceiling, soffit or vault.",,,,,,,
New York,,,,,,,,
Athena Parthenos,"Athena Parthenos is a massive chryselephantine (gold and ivory) sculpture of the Greek goddess Athena, made by Phidias and his assistants and housed in the Parthenon in Athens.",,,,,,,
Panathenaia,The Panathenaic Games were held every four years in Athens in Ancient Greece since 566 BC. They continued into the 3rd century C.E.,,,,,,,
metopes,,,,,,,,
Lapiths,The Lapiths are a legendary people of Greek mythology. The genealogies make them a kindred people with the Centaurs.,,,,,,,
Athens,,,,,,,,
Phidias,Athenian sculptor from the fifth century BCE.,,,,,,,
Athena,"is the goddess of wisdom, courage, inspiration, civilization, law and justice, mathematics, strength, war strategy, the arts, crafts, and skill in ancient Greek religion and mythology. Minerva is the Roman goddess identified with Athena.",,,,,,,
Shiva,,,,,,,,
parapet,,,,,,,,
Acropolis,"An acropolis (Greek: ἀκρόπολις; from akros or akron, ""highest"", ""topmost"", ""outermost"" and polis, ""city""; plural in English: acropoles, acropoleis or acropolises)[1][2] is a settlement, especially a citadel, built upon an area of elevated ground—frequently a hill with precipitous sides, chosen for purposes of defense.",,,,,,,
Free-Standing,,,,,,,,
perpendicular,,,,,,,,
intercept form,,,,,,,,
representational art,,,,,,,,
cross-hatching,patrón de líneas cruzadas Edad de Piedra,,,,,,,
cross-hatch,"edad de piedra, patrón de líneas cruzadas",,,,,,,
Poort of Diepkloof Rock Shelter,,,,,,,,
Pilgrimage to Cythera,,,,,,,,
Oath of the Horatii,,,,,,,,
North Carolina Museum of Art,,,北卡罗莱纳州艺术博物馆,,,北卡羅萊納州藝術博物館,,
blended instruction,,,,,,,,
district,,,,,,,,
Seoul,,,,,,,,
Connoisseurs&#39; Council,,,,,,,,
oil on plaster,,,,,,,,
Santa Maria della Grazie,,,,,,,,
Sukhothai,,,,,,,,
Last Supper,,,,,,,,
Gyeongju,,,,,,,,
linga,,,,,,,,
Rangoon,,,,,,,,
Burma,,,,,,,,
Raphael,Renaissance artist,,,,,,,
oil on panel,,,,,,,,
Walker Art Gallery,,,,,,,,
piecewise function,,,,,,,,
piecewise functions,,,,,,,,
point-slope,,,,,,,,
Kritios Boy,"The marble Kritios Boy or Kritian Boy belongs to the Early Classical period of ancient Greek sculpture. It is the first statue from classical antiquity known to use contrapposto. The Kritios Boy is thus named because it is attributed, on slender evidence, to the Athenian sculptor Kritios.",,,,,,,
krater,is a large vase which was used to mix wine and water in Ancient Greece.,,,,,,,
extraneous,,,,,,,,
Doric order,,,,,,,,
Ajax,,,,,,,,
